,Movie Id,Title,Tagword,description,totaltweets,retweetcount,text,hashtags
0,100,Fargo ,#fargo,park co realtors/parkcompany.com,274,0,Check out my newest listing in #Fargo! Tell me what you think!  #realestate https://t.co/y8SLGbFyUs https://t.co/03UkHP3iId,"['Fargo', 'realestate']"
1,100,Fargo ,#fargo,"I post about whatever my weird mind is focused on today. I don’t care if you follow me, why would I :) ?  I retired at a very early age. Daytrader",579,1,"📸 @gunsnroses

The boss @duffmckagan in #Fargo at Soundcheck. Tonight live at #fargodome 🤘

#DuffMcKagan #gunsnroses #notinthislifetime #notinthislifetimetour #appetitefordestruction #gnr #gnfnr #axlrose #slash #frankferrer #dizzyreed #richardfortus #mellisareese https://t.co/l0a7l1d51H","['Fargo', 'fargodome', 'DuffMcKagan', 'gunsnroses']"
2,100,Fargo ,#fargo,"Curmudgeonly europhile. Boris and Stanley are odious Johnsons, Matt's a good 'un.",6157,0,"This line from #Fargo rang a chord ""in America, we got the grifter, he don't so much as rob ya, as persuade ya to rob yourself""
Where was that lovable buffoon Alex de Pfeffel born again?",['Fargo']
3,100,Fargo ,#fargo,"💖 Tenderness 💖
🌟 Fan page about #DuffMcKagan 🌟
A little tenderness is what we need...",759,1,"📸 @gunsnroses

The boss @duffmckagan in #Fargo at Soundcheck. Tonight live at #fargodome 🤘

#DuffMcKagan #gunsnroses #notinthislifetime #notinthislifetimetour #appetitefordestruction #gnr #gnfnr #axlrose #slash #frankferrer #dizzyreed #richardfortus #mellisareese https://t.co/l0a7l1d51H","['Fargo', 'fargodome', 'DuffMcKagan', 'gunsnroses', 'notinthislifetime', 'notinthislifetimetour', 'appetitefordestruction', 'gnr', 'gnfnr', 'axlrose', 'slash', 'frankferrer', 'dizzyreed', 'richardfortus', 'mellisareese']"
4,100,Fargo ,#fargo,"#YNWA
Cinephile
History, Philosophy, Fiction",9503,0,I've just watched episode S04E06 of Fargo! #Fargo  #tvtime https://t.co/Q8egHMbx48 https://t.co/rbZD9VqQWH,"['Fargo', 'tvtime']"
5,100,Fargo ,#fargo,Follow this account for geo-targeted Retail job tweets in North Dakota Non-Metro. Need help? Tweet us at @CareerArc!,887,0,"This job might be a great fit for you: shift supervisor - Store# 50107, 45TH AND CALICO - https://t.co/EfO1EjE6wM #Retail #Fargo, ND","['Retail', 'Fargo']"
6,100,Fargo ,#fargo,💍 T. M . C. ❤️ M. P. C.,28,0,We been watching #Fargo #FXonHulu Love ittttttttt. They need a #season5 ?,"['Fargo', 'FXonHulu', 'season5']"
7,100,Fargo ,#fargo,📍Selling Real Estate FMWF & Lakes Area. #PowerofPark | Start your home search now 🏠➡️ https://t.co/yTrqoC44dR,1159,0,Check out our newest listing in #Fargo! Tell us what you think!  #realestate https://t.co/9FDP5mHPSS https://t.co/0YWow1qivL,"['Fargo', 'realestate']"
8,100,Fargo ,#fargo,Follow this account for geo-targeted Software Dev. - General/IT job tweets in North Dakota Non-Metro. Need help? Tweet us at @CareerArc!,218,0,"Great options and great opportunities. Excellent pay and benefits, multiple practice settings, employment options to meet every need, and some of the best nurse-to-patient ratios you will find anywhere. Apply today in #Fargo, ND. https://t.co/rdNqG6Qr8T #IT","['Fargo', 'IT']"
9,100,Fargo ,#fargo,The Fastest Crime News Updates on the Planet!,3891647,0,Officials #ID pilot seriously hurt in crash near #West #Fargo airport - Aug 11 @ 2:36 PM ET https://t.co/1gjdswHsg9,"['ID', 'West', 'Fargo']"
10,100,Fargo ,#fargo,The Fastest Crime News Updates on the Planet!,3891647,0,#West #Fargo #Police establishes two Safe Spot Swaps - Aug 11 @ 2:34 PM ET https://t.co/neKinGYyk9,"['West', 'Fargo', 'Police']"
